Hora,Mag_X (uT),Mag_Y (uT),Mag_Z (uT),Accel_X (m/s²),Accel_Y (m/s²),Accel_Z (m/s²),Gyro_X (rad/s),Gyro_Y (rad/s),Gyro_Z (rad/s)
2,1022,721,618,-0.81,-0.20,9.68,-0.06,-0.04,-0.02
3,1027,737,600,-0.82,-0.21,9.59,-0.06,-0.04,-0.02
4,1015,731,611,-0.81,-0.27,9.58,-0.06,-0.04,-0.02
5,1033,726,613,-0.88,-0.12,9.59,-0.08,0.00,-0.02
6,1012,716,613,-0.81,-0.19,9.64,-0.06,-0.03,-0.02
7,1027,718,597,-0.85,-0.19,9.65,-0.06,-0.04,-0.02
8,1012,742,607,-0.77,-0.21,9.52,-0.06,-0.04,-0.02
9,1022,728,602,-0.76,-0.18,9.64,-0.05,-0.05,-0.02
10,1027,723,597,-0.78,-0.17,9.63,-0.06,-0.04,-0.02
12,1022,728,618,-0.85,-0.17,9.65,-0.06,-0.03,-0.02
13,1022,733,597,-0.85,-0.17,9.71,-0.06,-0.03,-0.02
14,1015,713,597,-0.81,-0.21,9.59,-0.06,-0.04,-0.01
15,1022,721,611,-0.77,-0.18,9.66,-0.06,-0.04,-0.02
16,1015,713,593,-0.84,-0.17,9.57,-0.06,-0.03,-0.02
17,1027,723,613,-0.75,-0.15,9.57,-0.06,-0.04,-0.02
18,1022,737,605,-0.71,-0.32,9.72,-0.06,-0.03,-0.02
19,1041,718,586,-0.71,-0.20,9.57,-0.06,-0.04,-0.02
20,1022,731,575,-0.74,-0.23,9.75,-0.06,-0.04,-0.02
22,1017,737,588,-0.72,-0.17,9.60,-0.06,-0.04,-0.02
23,1056,721,597,-0.72,-0.19,9.70,-0.06,-0.04,-0.02
24,1067,733,607,-0.74,-0.19,9.65,-0.06,-0.04,-0.02
25,1067,723,597,-0.76,-0.17,9.57,-0.06,-0.03,-0.02
26,1065,718,607,-0.80,-0.19,9.63,-0.06,-0.04,-0.02
27,1027,740,580,-0.74,-0.20,9.69,-0.06,-0.03,-0.01
28,1036,760,597,-0.79,-0.22,9.58,-0.06,-0.04,-0.02
29,1031,737,572,-0.72,-0.17,9.67,-0.06,-0.04,-0.02
30,1033,745,570,-0.74,-0.17,9.56,-0.06,-0.03,-0.02
31,1027,742,588,-0.74,-0.25,9.64,-0.06,-0.03,-0.02
33,1027,740,586,-0.75,-0.19,9.64,-0.06,-0.04,-0.01
34,1025,731,588,-0.80,-0.18,9.60,-0.06,-0.04,-0.02
35,1031,740,583,-0.75,-0.21,9.62,-0.06,-0.03,-0.02
36,1041,740,586,-0.74,-0.17,9.63,-0.06,-0.03,-0.02
37,1036,737,586,-0.76,-0.21,9.66,-0.06,-0.04,-0.02
38,1033,740,577,-0.77,-0.26,9.66,-0.06,-0.04,-0.02
39,1038,747,580,-0.77,-0.17,9.60,-0.06,-0.03,-0.02
40,1017,737,577,-0.76,-0.18,9.64,-0.06,-0.04,-0.02
41,1022,733,586,-0.80,-0.14,9.58,-0.06,-0.03,-0.02
42,1038,752,583,-0.77,-0.19,9.67,-0.06,-0.04,-0.02
